dropoff_longitude,dropoff_latitude,passenger_count
-74.015,40.703,26.833333333333332
-74.015,40.704,21.033333333333335
-74.015,40.705,115.24444444444444
-74.015,40.706,17.322222222222223
-74.015,40.707,11.166666666666666
-74.015,40.708,97.76666666666667
-74.015,40.709,158.4
-74.015,40.71,313.9555555555556
-74.015,40.711,451.4888888888889
-74.015,40.712,90.44444444444444
-74.015,40.713,17.655555555555555
-74.015,40.714,339.3888888888889
-74.015,40.715,112.91111111111111
-74.015,40.716,257.75555555555553
-74.015,40.717,98.24444444444444
-74.015,40.718,139.7
-74.015,40.719,0.32222222222222224
-74.015,40.72,0.011111111111111112
-74.015,40.721,0.06666666666666667
-74.015,40.723,0.022222222222222223
-74.015,40.725,0.08888888888888889
-74.015,40.726,0.044444444444444446
-74.015,40.727,0.011111111111111112
-74.015,40.731,0.011111111111111112
-74.015,40.732,0.011111111111111112
-74.015,40.733,0.011111111111111112
-74.015,40.734,0.022222222222222223
-74.015,40.737,0.011111111111111112
-74.015,40.74,0.044444444444444446
-74.015,40.745,0.011111111111111112
-74.015,40.751,0.022222222222222223
-74.015,40.753,0.011111111111111112
-74.015,40.76,0.1
-74.015,40.763,0.011111111111111112
-74.015,40.77,0.011111111111111112
-74.015,40.771,0.05555555555555555
-74.015,40.772,0.03333333333333333
-74.015,40.773,0.03333333333333333
-74.015,40.774,0.14444444444444443
-74.015,40.775,0.1
-74.015,40.776,0.03333333333333333
-74.015,40.777,0.1
-74.015,40.778,0.18888888888888888
-74.015,40.779,0.2222222222222222
-74.015,40.78,0.022222222222222223
-74.015,40.781,0.011111111111111112
-74.015,40.783,0.011111111111111112
-74.015,40.784,0.06666666666666667
-74.015,40.787,0.022222222222222223
-74.015,40.788,0.08888888888888889
-74.015,40.79,0.06666666666666667
-74.015,40.791,0.06666666666666667
-74.015,40.792,0.011111111111111112
-74.015,40.796,0.022222222222222223
-74.015,40.798,0.011111111111111112
-74.015,40.799,0.03333333333333333
-74.015,40.803,0.011111111111111112
-74.015,40.809,0.011111111111111112
-74.015,40.812,0.03333333333333333
-74.015,40.813,0.011111111111111112
-74.015,40.815,0.011111111111111112
-74.015,40.852,0.011111111111111112
-74.015,40.853,0.011111111111111112
-74.014,40.703,188.11111111111111
-74.014,40.704,165.87777777777777
-74.014,40.705,72.1
-74.014,40.706,22.68888888888889
-74.014,40.707,21.555555555555557
-74.014,40.708,175.66666666666666
-74.014,40.709,208.24444444444444
-74.014,40.71,145.1
-74.014,40.711,59.27777777777778
-74.014,40.712,129.42222222222222
-74.014,40.713,226.88888888888889
-74.014,40.714,740.8444444444444
-74.014,40.715,699.4555555555555
-74.014,40.716,72.03333333333333
-74.014,40.717,150.33333333333334
-74.014,40.718,93.67777777777778
-74.014,40.719,0.18888888888888888
-74.014,40.721,0.07777777777777778
-74.014,40.722,0.044444444444444446
-74.014,40.723,0.044444444444444446
-74.014,40.724,0.011111111111111112
-74.014,40.725,0.05555555555555555
-74.014,40.727,0.03333333333333333
-74.014,40.728,0.03333333333333333
-74.014,40.729,0.011111111111111112
-74.014,40.73,0.011111111111111112
-74.014,40.731,0.011111111111111112
-74.014,40.734,0.08888888888888889
-74.014,40.735,0.011111111111111112
-74.014,40.738,0.07777777777777778
-74.014,40.739,0.011111111111111112
-74.014,40.74,0.011111111111111112
-74.014,40.744,0.011111111111111112
-74.014,40.746,0.03333333333333333
-74.014,40.75,0.011111111111111112
-74.014,40.753,0.022222222222222223
-74.014,40.754,0.03333333333333333
-74.014,40.758,0.011111111111111112
-74.014,40.76,0.022222222222222223
-74.014,40.764,0.06666666666666667
-74.014,40.772,0.08888888888888889
-74.014,40.773,0.25555555555555554
-74.014,40.774,0.011111111111111112
-74.014,40.775,0.08888888888888889
-74.014,40.776,0.08888888888888889
-74.014,40.777,0.25555555555555554
-74.014,40.778,0.14444444444444443
-74.014,40.779,0.13333333333333333
-74.014,40.78,0.06666666666666667
-74.014,40.781,0.022222222222222223
-74.014,40.784,0.022222222222222223
-74.014,40.785,0.08888888888888889
-74.014,40.786,0.07777777777777778
-74.014,40.788,0.011111111111111112
-74.014,40.789,0.1
-74.014,40.79,0.022222222222222223
-74.014,40.792,0.03333333333333333
-74.014,40.8,0.03333333333333333
-74.014,40.807,0.011111111111111112
-74.014,40.808,0.011111111111111112
-74.014,40.809,0.011111111111111112
-74.014,40.813,0.23333333333333334
-74.014,40.814,0.03333333333333333
-74.014,40.844,0.011111111111111112
-74.014,40.845,0.28888888888888886
-74.014,40.847,0.011111111111111112
-74.014,40.852,1.011111111111111
-74.014,40.853,0.022222222222222223
-74.013,40.703,79.72222222222223
-74.013,40.704,120.32222222222222
-74.013,40.705,63.955555555555556
-74.013,40.706,108.42222222222222
-74.013,40.707,65.46666666666667
-74.013,40.708,54.65555555555556
-74.013,40.709,86.0
-74.013,40.71,33.84444444444444
-74.013,40.711,3.3444444444444446
-74.013,40.712,1.9555555555555555
-74.013,40.713,15.233333333333333
-74.013,40.714,84.62222222222222
-74.013,40.715,165.01111111111112
-74.013,40.716,147.62222222222223
-74.013,40.717,142.7111111111111
-74.013,40.718,23.8
-74.013,40.719,6.1
-74.013,40.72,2.6444444444444444
-74.013,40.721,0.2
-74.013,40.722,0.044444444444444446
-74.013,40.723,0.05555555555555555
-74.013,40.724,0.06666666666666667
-74.013,40.725,0.011111111111111112
-74.013,40.726,0.022222222222222223
-74.013,40.727,0.022222222222222223
-74.013,40.728,0.011111111111111112
-74.013,40.729,0.011111111111111112
-74.013,40.73,0.011111111111111112
